start,end,duration
25:39.4,25:49.7,00:10.4
25:52.1,25:54.4,00:02.3
25:54.9,25:56.6,00:01.6
26:27.0,26:33.5,00:06.5
26:39.9,26:40.9,00:01.0
26:41.6,26:43.3,00:01.7
26:44.8,26:48.6,00:03.9
26:51.4,26:58.0,00:06.5
27:53.3,27:58.7,00:05.4
28:03.7,28:06.7,00:03.0
28:08.9,28:10.6,00:01.7
28:14.9,28:17.5,00:02.6
28:32.1,28:36.5,00:04.5
28:38.2,28:48.2,00:10.0
28:51.1,28:52.9,00:01.8
28:53.7,28:54.4,00:00.7
28:55.6,29:00.3,00:04.7
29:07.1,29:12.0,00:04.9
29:13.9,29:16.5,00:02.6
29:20.1,29:24.1,00:04.0
29:34.2,29:42.1,00:07.9
29:44.7,29:47.2,00:02.5
29:48.7,29:56.1,00:07.4
30:00.2,30:04.3,00:04.1
30:04.7,30:06.7,00:02.0
30:14.4,30:15.6,00:01.2
